[1.1 À la recherche d'un logement]
le propriétaire|Celui qui possède une maison ou un appartement.|J'ai un rendez-vous avec le propriétaire de cet appartement.
le centre-ville|Le cœur de la ville.|Je préfère habiter près du centre-ville.
confortable|Agréable et douillet.|Ce canapé est très confortable.
la campagne|Les terres agricoles en dehors des villes.|Nous avons une petite maison à la campagne.
emménager|Aller vivre dans un nouveau logement.|Nous avons emménagé le mois dernier.
le contrat|Un accord écrit et légal.|Le propriétaire me demande de signer le contrat.
l'annonce|Un message public qui annonce quelque chose.|J'ai vu une annonce pour un appartement intéressant.
le rez-de-chaussée|L'étage au niveau du sol.|L'appartement au rez-de-chaussée est très bien.
se garer|Arrêter sa voiture quelque part.|Il est difficile de se garer dans notre rue.
lumineux|Rempli de lumière.|Notre cuisine est très lumineuse.
chercher|Essayer de trouver.|Je cherche un bon restaurant pour ce soir.
la banlieue|Les zones autour d'une grande ville.|Dans la banlieue, c'est plus calme qu'au centre.
être à la recherche de|Vouloir trouver quelque chose.|Je suis à la recherche d'un nouvel emploi.
signer|Écrire sa signature.|Peux-tu signer le document, s'il te plaît?
loin|À grande distance.|Elle habite loin de la ville.
la ville|Un endroit avec beaucoup de bâtiments et de personnes.|J'aime mieux habiter en ville qu'à la campagne.
le locataire|Celui qui loue une maison ou un appartement.|Les nouveaux locataires sont très sympathiques.
raisonnable|Acceptable et pas exagéré.|Le prix de ce restaurant est très raisonnable.
visiter|Aller voir quelque chose.|Nous avons visité deux appartements hier.
