[1.1 Op huizenjacht - op zoek naar een woning]
de eigenaar|Bezitter.|Ik heb vandaag een afspraak met de eigenaar van het appartement.
het stadscentrum|Midden in de stad.|Ik ga in het stadscentrum wonen.
comfortabel|Gerieflijk, aangenaam.|Die nieuwe fauteuil zit heel comfortabel.
het platteland|Het rurale gebied buiten de steden.|Ik zou nooit op het platteland kunnen wonen.
intrekken|Ergens gaan wonen.|Sinds wanneer woon je hier? Wanneer ben je hier ingetrokken?
het contract|Schriftelijk vastgelegde overeenkomst.|Hij moet het contract nog tekenen.
de advertentie|Aankondiging in een krant, reclameblad of tijdschrift bedoeld om personen over te halen iets te kopen.|Ik zag vandaag een interessante advertentie in de krant.
de benedenverdieping|Waar je een woning binnenkomt zonder een trap of lift te moeten nemen; begane grond. In België: gelijkvloers.|Ik ben op zoek naar een appartement op de benedenverdieping.
parkeren|Een voertuig tijdelijk ergens plaatsen en laten staan.|Het is heel moeilijk om te parkeren in onze straat.
licht|Niet donker.|Onze woonkamer is heel licht met dat grote raam.
zoeken|Proberen te vinden.|Ik zoek een goed restaurant voor mijn verjaardagsfeest.
de buitenwijk|Buurt buiten het centrum van de stad.|In de buitenwijk is het rustiger dan in het centrum van de stad.
op zoek zijn naar|Iets willen vinden.|Ik ben op zoek naar mijn droomhuis.
ondertekenen|Handtekening zetten op een papier.|Wilt u hier onderaan ondertekenen, alstublieft?
ver|Niet dichtbij, afgelegen.|Ze is ver van de stad gaan wonen.
de stad|Plaats waar veel gebouwen, mensen en voorzieningen dicht bij elkaar zijn.|Ik woon liever in de stad dan op het platteland.
de huurder|Degene die huurt en daarvoor huur betaalt.|De nieuwe huurders zijn erg sympathieke mensen.
redelijk|Adequaat, acceptabel.|De appartementen in deze buurt zijn heel duur, maar de prijs van dit appartement is heel redelijk.
bezichtigen|Iets gaan bekijken.|Ik heb vandaag twee appartementen bezichtigd.
het appartement|Afzonderlijke woning in een groter gebouw.|Ik woon liever in een appartement dan in een huis.
de huurprijs|Prijs die betaald moet worden aan de eigenaar om de woning te gebruiken.|De huurprijzen in de stad liggen erg hoog.
rustig|Kalm.|We wonen in een rustige buurt.
de flat|Afzonderlijke woning in een groter gebouw; appartement.|Zij wonen in een grote, moderne flat in de stad.
dicht bij|Niet ver.|Hij woont nu dicht bij zijn vrienden.

[1.2 Op huizenjacht - een woning bezichtigen]
het flatgebouw|Gebouw met een aantal woonlagen.|Ik zou niet graag in een flatgebouw wonen.
de benedenverdieping|Waar je een woning binnenkomt zonder een trap of lift te moeten nemen; begane grond; in België: gelijkvloers.|Ik ben op zoek naar een studio op de benedenverdieping.
ruim|Groot.|Het appartement bestaat uit drie ruime kamers.
open|Niet gesloten.|Kom maar binnen, de deur is open.
de prijs|Het bedrag dat betaald moet worden.|Ik ben geschrokken van de prijs die ze voor dat oude huis vragen.
de staat|Toestand, gesteldheid.|De flat die ik vanmorgen bezocht heb, was in bouwvallige staat.
historisch|Op de geschiedenis betrekking hebbend.|Hij heeft een appartement gekocht in een prachtig historisch pand.
de buurt|Deel van een stad of dorp; wijk.|Er gaan veel jonge gezinnen in die nieuwe buurt wonen.
duur|Niet goedkoop, prijzig.|Dit huis is precies wat we zoeken, maar het is veel te duur voor ons.
